"chunk_id","edition_id","line_id","page","line_no","box","text","text_hash","chunk_type"
1,1,"FR1",1,1,"[221.9, 36.49, 372.67, 47.56]","L F Céline, Voyage au bout de la nuit","8b4d696ded44bd6391de7cea6f68f21a","page_header"
2,1,"FR2",1,2,"[99.3, 184.11, 283.4, 204.54]","Notre vie est un voyage","38f419721a7f4e811149d27361dd2919","epigraph"
3,1,"FR3",1,3,"[99.3, 204.51, 319.3, 224.94]","Dans l’hiver et dans la Nuit,","df312f59ee0519f249ae2851ac85d707","epigraph"
4,1,"FR4",1,4,"[99.3, 225.01, 339.91, 245.44]","Nous cherchons notre passage","e88b0d330c01b1e8ccc1bb91175209ec","epigraph"
5,1,"FR5",1,5,"[99.3, 245.41, 314.0, 265.84]","Dans le Ciel où rien ne luit.","46898b3b91e0ba7c266cc44900490b7a","epigraph"
6,1,"FR6",1,6,"[99.3, 286.31, 325.33, 306.74]","Chanson des Gardes Suisses","d4678039fb89d12f3cb77a73ed5eb704","epigraph"
7,1,"FR7",1,7,"[99.3, 306.77, 142.0, 327.24]","17932","bbc90218e55a81732f0f78c16cbf2b6f","epigraph"
8,1,"FR8",1,8,"[56.8, 711.19, 541.83, 725.95]","2 Chanson  des  Gardes  Suisses,  1793 :  couvre  d’officiers  d’un  régiment  suisse","691c007ba2d8f7c23a621ecf08586fdb","footnote"
9,1,"FR9",1,9,"[56.8, 725.99, 541.83, 740.75]","allemand de l’armée napoléonienne. Sur le point de mourir, ils la chantèrent devant","01b10ceaabcd78d7acdb4edebb2d31d7","footnote"
10,1,"FR10",1,10,"[56.8, 740.79, 541.83, 755.55]","la Berezina. C’était pendant la retraite de Russie, en 1812. Il ne s’agit donc pas des","6fcf52c757cebb45b4594057ca6237ba","footnote"
11,1,"FR11",1,11,"[56.8, 755.59, 541.83, 770.35]","Gardes suisses de la maison du roi de France sous l’Ancien Régime, qui furent","38da621393d39ded319a5211121e3a8e","footnote"
12,1,"FR12",1,12,"[56.8, 770.39, 346.34, 785.15]","massacrés lors de la bataille des Tuileries, en 1792.","41b2b0d4c0914d6b6406d49b51985c6e","footnote"
13,1,"FR13",1,13,"[265.2, 793.7, 330.3, 805.88]","Page 3 sur 584","bbd94f0168d5b397d1af2ababecb101b","page_footer"
14,1,"FR14",2,1,"[221.9, 36.49, 372.67, 47.56]","L F Céline, Voyage au bout de la nuit","8b4d696ded44bd6391de7cea6f68f21a","page_header"
15,1,"FR15",2,2,"[99.3, 184.11, 543.04, 204.54]","Voyager, c’est bien utile, ça fait travailler l’imagination.","f997cdf52e23eadce2c720acec3b5959","epigraph"
